id;nom;jeu;prix_jour;telephone;dispo
1;Car Industrial deliverables;orange Books;81546;19884;true
2;application quantify Unbranded Plastic Tuna;Internal;85003;62329;false
3;Ergonomic;moratorium moratorium;72960;59129;true
4;COM;embrace Developer;84891;76078;true
5;Robust Networked;Poland;42754;11089;false
6;Intelligent Outdoors;Harbor Montana;69551;90756;false
7;Investment Account;override User-centric;7697;59886;false
8;Salad Web virtual;Refined Squares;21844;18657;false
9;EXE projection Fresh;support Gorgeous;22793;64769;false
10;copying;ability Hat Iraq;48482;22210;true
